review_id,text,sentiment
10,"I would say this is a background movie. Play it the background as your tending to busy work (laundry, checking email, etc). I thought this was a film that was done before Amy Adams became successful after Enchanted. Wrong! It was done in 2009! The screenplay/script is pretty awful. I love musicals but the singing is just average and doesn't move the plot along. Ughh. It almost seems like it's a made for TV movie based on the cinematography. Am I watching a TV show? <br /><br />Even the secretary breaks out into song. What the f@#$ is going on?! Actually she seemed to have the best voice. Amy Adams was so great in Enchanted. Lead actor is average. Disappointed for sure. This movie would have been good for lifetime, but that's about it. :(",neg
11,"This is probably the best television show I've ever seen. I first saw it on Comedy Central several years ago. At the time I was unaware that it had been dramatically edited and was shown out of order, and having just watched all three series in order and unedited (thank you internet and your wondrous ""series of tubes"") I am SO GLAD I rediscovered it! I think Comedy Central sort of picked and chose their way through series one and two to make a ""season""......and I tried to get friends and family to watch it, but nobody really seemed to like it (I need new friends). So, on my own, I made the best out of it that I could. Even when I felt like it was waning a bit, I still felt compelled to continue watching. Years after when I discovered Little Britain, I immediately recognized Pauline from LoG as having influenced Marjorie in Fat Fighters. Also, I love the idea of writers who act the entire show....(not new, but done impeccably here). LB has nothing on LoG! (No offense, Matt & David....Love you)! This is indeed a darkly comedic piece of genius. Serial murder, implied cannibalism.....you name it and it's probably found in this wonderful, unique piece of TV art. The location shots from the very first scene themselves are chilling and seem to beckon you to the town of Royston Vasey.....You'll Never Leave! I think my favorite character would have to be Tubbs, but each character as portrayed has it's own ""charm"". My least favorite was Papa Lazarous, that was until he re-surfaced in series three (clever and wholly unexpected)! It's best to watch several episodes in a row as it drives the continuity and as I said before, becomes so compelling (while repulsing) that you really CAN'T stop watching. This is not for those with weak stomachs, kids, conservatives or Grandma (unless you've got one saucy granny)! I have always loved British TV, particularly comedies, from Monty Python to Benny Hill, Red Dwarf to Keeping Up Appearances, Absolutely Fabulous and the British originals Coupling and The Office (but not their US counterparts....sorry). This is unlike any of those in that it completely redraws the line between what's funny and what's just sick and twisted. Nothing, NOTHING on US TV has ever come close to this level of entertainment. US broadcast TV is so sad and lame, I can barely stand to watch ANY of it. It's kind of sad that even our cable channels don't have the guts to show unedited versions of this gem (your loss, Comedy Central). Thankfully there are shows like this one that come from the ""across the pond"" that redeem the entire medium every decade or so. Basic cable here in the US has been making tiny steps the last few years in confidently ""crossing lines"" with more graphic sexual content, drug use and adult language, but they are still years away from just deciding to be Adults about showing real life, adult behavior (instead of just murder obsession and blowing things up, sheesh, it's like the same basic show format for the past 35 years)! Don't even get me started on US sitcoms! Waste of time and lots of wasted money......did you know that ""According to Jim"" has been on the air for 10 years??? 10 YEARS?? Anyway... Watch this show, get it on DVD, do what you must and then make your friends watch it as well! You've never seen anything like it. There are three specials that I have not watched yet....I'm saving them to spring on my best friend next time he visits. He'll watch them, even if I have to chain him up and paint him with Excrement! Lines and lines and lines and lines! Note that series three departs from one and two....the greater town seems to fall away to concentrate on newer characters, the laugh track is gone (thank bloody hell), the theme is more band and less orchestra and a bit of the story takes place outside of Royston Vasey. Don't be thrown by any of that as by the end, the series has preserved the quiet perversity first demonstrated in series one and two. I think these four guys have created something sort of undefinable. Brilliant, confident and absolutely demented. You will want to re-watch it again and again. It's amazing that in 5 seconds of screen time they can go from cheap sight-gag to horrifying blasphemy then end with a single actors close-up facial expression. If ever I were to meet any of the writer/performers, I'd implore them not to recreate it or try to top it.....I'd just say ""Can I help you at all?"" (Then they'd probably slap me, so I'd ask them to sign the slap-mark)! 10 out of 10",pos
12,"He who fights with monsters might take care lest he thereby become a monster. And if you gaze for long into an abyss, the abyss gazes also into you.<br /><br />Yes, this is from Nietzsche's Aphorism 146 from ""Beyond Good and Evil"". And that's what you find at the start of this movie.<br /><br />If you watch the whole movie, you will doubt if it was the message that the Ram Gopal Varma Production wanted to pass on. As the scenes crop up one by one, quite violent and at times puke-raking, the viewer is expected to forget the Nietzsche quote and think otherwise. That to deal with few people you need dedicated people like Sadhu Agashe who will have the licence to kill anyone, not just writing FIRs (something unworthy of the police to do, as we are made to believe).<br /><br />When TADA was repealed and the government wanted to pass newer and even more draconian laws, RGV's ""Satya"" did the required brain surgery without blood transfusion for the multiplex growing thinking urban crowd whose views matters in a democratic country like India. Within a year MCOCA was passed.<br /><br />When real life encounter specialist Daya Nayak 'became a monster on the path of fighting them' and was himself booked by MCOCA, ""Aab tak Chhappan"" was made to heed out ""false"" impression among the people about this. With it's ""you have to be a monster to save your nation"" approach.<br /><br />And people consumed it. No questions raised. Only praises and hopes that they get a Sadhu Agashe in their local police station who will solve all problems and hence let only milk and butter flow all over. Blood? You can ignore.<br /><br />Every time Israel attacks Palestine or Lebanon, we hear voices like ""India must also similarly attack Pakistan"". This movie is made for such psychopaths. If you don't give them this, they will probably die out of boredom and LSD and what not.<br /><br />Hence this game of the passion of hatred.",neg
13,"May I please have my $13.00 back? I would have rather watched ""Hydro- Electric Power Comes to North America"". Again. This is a movie with one voice. The same voice, which comes out of every characters mouth regardless of age or gender. To listen to that voice again I would have to charge at least $150 an hour. And I don't take insurance. It was eerie watching Will Ferrell morph into Woody. But I don't think imaginative casting is enough. One should wait until they have a story before they bother making a movie. Unless he's just doing it for the money. And if that's the case why not just reissue an All-Rap version of ""What's up Tiger Lily?""",neg
14,"this movie is quite bad, aggressive, not played well, not directed well, seems low budget, low quality,emotionaly weak and disconnected. after watching earlier comments, went to see it, but if u try to compare it with apocalypse now, PLATOON, or any others, u'r really off the tracks. this movie looks like a 60's old and purely made film with cast of grown neanderthals, not to mention (or actually do), not paying attention to details like changing rounds, low budget fireworks and all sorts of poorly filmed characteristic. is watchable though, if u'd like to see it as an early development of the movies document.. not to go back!!<br /><br />p.s - afterall, the guys are quite alright.",neg
15,"The plot of this movie is dangerously thin and the only ""star power"" if we can call it that consists of Joe Estevez. I don't know what is more shocking. The fact that this movie was made or the fact that some people actually gave good comments about it. If you ever see the cover of the video you'll be able to read them. Someone even went as far as saying that the actress/writer could be the leading lady of the 90's. Yeah! And Joe Estevez could have more money than his brother Martin. If you want to check it out anyways I highly recommend watching the MTS version of it. At least you'll laugh a lot without going insane.",neg
16,"Leonard Maltin must've been watching some other movie. (Though I find his Guide to be quite a valuable resource, please disregard his comments on this one.) He states ""starts off well then fizzles"" when it's really the reverse - ""starts off tepid then catches fire"". The plot is about as simple as it gets. Happy Mom, Happy Dad and Happy Son take a vacation at an isolated beach, Dad incapacitated in accident, Mom runs off to get help, meets up with dangerous escaped convict. Mom tries to trick convict into helping while Dad waits and hangs on for dear life.<br /><br />Good white-knuckler given an electric jolt by Ralph Meeker, appearing suddenly (the director, John Sturges, films it in a clever way that will make you gasp) around halfway through as the cunning, desperate criminal. Meeker is an unusually flippant, reckless actor (at least here and in the classic ""Kiss Me Deadly"") and he happily snatches the keys to the film's narrative and speeds off with the top down. His character has a habit of grinning childishly and saying ""Pretty neat, huh?"" when he's especially pleased with his misdeeds. There is a funny break in the action when they get a flat tire and he tersely instructs his hostage, Barbara Stanwyck, ""Don't go away"". She fires back ""Where would I go?"" (they're in the middle of nowhere) and he realizes sitcom-ishly ""Yeah, that's right"". The friction between them is a hoot.<br /><br />There are flaws, somewhat ridiculous ones. There's one scene where the police, who have been chasing after Meeker for some time, stop Stanwyck's car and to evade detection Meeker rests his head on her shoulder like a loving husband supposedly would, and pretends to be asleep as she's being questioned. A. He looks conspicuously un-masculine in this pose and B. I think it's safe to say that any adult who appears to be asleep during an encounter with law enforcement would certainly arouse suspicion.<br /><br />Still a sturdy thriller which builds to an exciting and edifying conclusion.<br /><br />",pos
17,Not the funniest movie ever.....but I have to watch this film at least once a year just so I can fall in Love with Michelle Johnson all over again. She never looked better than she did in this film. by the way The story is good too.,neg
18,"While credited as a Tom and Jerry cartoon, this is not the cat-and-mouse team but an earlier Mutt-and-Jeff rip-off featuring them going to Africa and disguising themselves in the stereotypical burnt cork makeup to try to blend in. While the dialect humor is mostly lame, there is a brief musical sequence involving ""black skeletons"" that was entertaining. I have to ask however, how could Tom and Jerry still have their makeup stay on even after being dumped in the water a couple of times? One of many entries produced by the Van Beuren Corporation for distribution by RKO Radio Pictures before RKO made a deal with Disney. Only worth seeing if you're an animation buff or is interested in how certain ethnicities were stereotyped as entertainment way back when.",neg
19,"Look, although we don't like to admit it, we've all have to suppress our fears concerning the extreme likelihood of experiencing the events that take place in this movie. You know: you get into your car and you immediately start thinking,""Gosh, I hope today isn't the day that my accelerator sticks at a comfortable cruising speed of 55 mph, all four door latches break in the locked position, both my main and emergency brake fail, my ignition switch can't be turned off, and I've got a full tank of gas; all simultaneously."" Fortunately, for most of us, our Thorazine kicks-in before we actually decide that it's a bad idea to be driving a car. Not so for the makers of the harrowing, white-knuckle, edge-of-your-seat (if only in preparation to leave the room) action juggernaut, ""Runaway Car"" But they go ahead and drive anyway!<br /><br />I am endlessly pleased to have found (thanks to the imdb) that this movie is real, and that I didn't merely dream it.<br /><br />This movie is, at the very least, one of the fantastic sights you will see on your journey to find the El Dorado of Very Bad Cinema.<br /><br />I highly recommend it.",pos
20,"My summary refers to the fact that this film has 1479 votes--just 21 short of making it eligible to be on IMDb's infamous Bottom 100 list--the 100 lowest rated films on the website. With a paltry score of only 1.8, this would place the film at approximately between #38 and 46 on the list--talk about a very dubious achievement!! My score of 3 isn't that bad--but it does bring the film that much closer to the dreaded list.<br /><br />As for the film, it stars the once-cute Aaron Carter--yet another prepackaged and forgettable pop star of the 1990s. When he first broke onto the scene, he was a cute kid with some songs that appealed to pre-teens and tweeners on Radio Disney. His songs, look and image were all scrupulously groomed and created by marketing folks and did the trick--leading to some huge album sales. Unfortunately, by 2005, sales were in decline and Carter had hit his awkward stage of life--something ALL kids his age have to deal with eventually. To put it bluntly, he isn't cute any more in this film and is at a very tough stage of life. I assume now he's a gorgeous young man...but in ""Popstar"" he's no longer the heart-throb he once was. Here, he is just very normal...a death sentence for a kid in his position as a ""pop sensation"".<br /><br />Interestingly, the film has some appearances by some other ex-teen heart-throbs from the last few decades--including a roles for David Cassidy and Leif Garrett--two guys who also know what it's like to disappear from the limelight. Cassidy managed to pick up the pieces and make a niche for himself, while Garrett is a great example of a pop star whose life after stardom has been a bit of a joke. Hopefully Carter will take after Cassidy in the future and so far, thankfully, he's managed to avoid the negative publicity and court appearances of many ex-pop idols. I was far from thrilled with the film but seriously wish him best in this department. It's not his fault he was plastered across the radio and television throughout the early to mid-1990s.<br /><br />In this film, Carter doesn't exactly need to stretch himself--he plays a pop star. However, despite making millions and being adored by girls, he doesn't ""have it all"". He's quite dense--mostly because he has little interest in learning. The problem is so bad that his mother decides to no longer home school him--forcing him to go to public school. The problem, though, is that he is rather phobic about taking tests...and making the grade in school is difficult. So, he gets the idea of finding a smart girl to date--one who would naturally be obliged to help him out in school. He picks the cute but bookish Jane (Alana Austin) and pretends to really like her in a sad attempt to make this scheme work.<br /><br />This plot, by the way, isn't bad and could work even though it seems a lot like an episode of a show like ""The Brady Bunch"" or a Nickelodeon sit-com. Sure, it's predictable and you KNOW that the formula will mean that she will eventually learn his plot and be hurt AND he will eventually realize that he actually does care for her AND by the end of the film, all will be forgiven and they'll be a real couple. But, given good acting and competent direction, this could be worth seeing for his teen fans, as predictable isn't always bad. And, as it turned out, this ISN'T exactly where the plot went...but it was awfully close.<br /><br />There are a few good things I liked about the film. Seeing Tom Bosley and Stella Stevens playing Jane's grandparents was very nice--their role was quite sweet and it was good seeing them again. Also, 1970s made for TV movie star Andrew Stevens appeared in the film--it was nice to see him again--though part of me hated him, as he looks so great after all these years and I look ever bit of my 45 years! He did a fine job and it was nice seeing him in the same film as his mother (Stella).<br /><br />As for Carter, with his many prior experiences on TV, he was, not surprisingly, pretty good. While his relationship with Jane didn't seem very believable, he and Ms. Austin gave it their best. The film wasn't great, but they did try and I think most of the problems with the film were in the writing--with a better and less formulaic plot, it could have worked much better. Plus the whole ""testophobia"" angle seemed pretty contrived...and rather insignificant. Who cares if a mega-millionaire star gets anxious taking tests in school?! Overall, not a rotten film as the current rating would imply, though there isn't much here to attract a wide audience. People who grew up loving Carter probably will enjoy the film. Older folks will probably care less as well as really young people who probably haven't heard of him. For them, there is no nostalgia value in the film.<br /><br />My favorite part of the film...Leif Garrett giving Aaron advice. I felt like screaming ""don't listen!!"" but didn't!",neg
21,A touching movie. It is full of emotions and wonderful acting. I could have sat through it a second time.,pos
22,"I've seen a few of Mr. Boorman's movies and didn't like much of them. Not that they are bad movies, quite the contrary are good movies, but not content I personally found entertaining. However I think Where the Heart Is, although made to cater to the less than art savvy American audience, is masterful as satire, and as social commentary of the times it was made in. I've had to replace this movie in my collection at least a half a dozen times, since every time I loan it out to someone I know could appreciate it's artistry on all its levels, my copy fails to come back home to me, lol. The last time took 7 years to replace it since it was out of print for VHS sales, has never been made as a DVD that I know of, and had to wait till one of the premium cable channels ran it before I could tape it again.<br /><br />My favorite aspect after the nail-on-the-head social commentary is the paintings by Timna Woollard. I've searched for 15 years to find anyone or anywhere that could lead me to where her work is available for sale. Or better yet a copy of the paintings in the movie without the ending credits rolling over them. I have a room in my house that I dedicated to putting copies of her paintings in, and no one seems to know if it ever was released as a coffee table book, or video aquarium, or as a documentary of her work. If anyone does know of where I can acquire any sort of copy of Timna's work or where her studio is in England, please do not hesitate to contact me via email.",pos
23,"End Game started well, the least said about the end the better. it seemed like things we're happening just to keep the plot going, for example the reporter who at first is a very inquisitive, intelligent person, half way through does something really stupid and totally out of character, we are given no reason for this apart from, the next scene wouldn't make sense without it. The whole story could have been told in about 30 minutes, it would have made an average TV political drama The brilliant Cuba Gooding Jr. is very watchable however and James Woods does an admirable job considering.<br /><br />The end game was honestly one of the worst films I've ever seen......and that's saying something, I've seen Gigli.",neg
24,"Does anyone know the exact quote about ""time and love"" by George Ede aka, Father Fitzpatrick in the move, It had to be you? He was talking to Charlie and Annna in the church as they were leaving? If not I will have to rent the movie. This was a great movie. I also loved Serendipity! Great love story for the soul! <br /><br />I met my one true love (my Soulmate) and although I had the experience to meet him when I had least expecting it, I wasn't ready for that kind of emotional relationship. <br /><br />Altho, we did marry, I wasn't mature enough to give as much as I thought I would. I got complacent and took his love for granted and he withstood it for 7 years. <br /><br />He finally left with resentment but we are still hurt and angry & in disbelief about the way it turned out. I had some very hard lessons to learn and we have now been apart 3 years.<br /><br />This movie meant a lot because I am still waiting on reconciling with my one and only true love. I can NOW appreciate that distinct feeling inside of me and the quote of Father Fitzpatrick rang true for me.<br /><br />I know when he has healed enough to trust me again, we will remarry.<br /><br />Don't EVER GET COMPLACENT AND TAKE TRUE LOVE FOR GRANTED! IT HAS BEEN THE HARDEST LESSON OF MY LIFE. <br /><br />Also the music in this movie is OUTSTANDING and MEANINGFUL! This movie is DEEP and spiritually uplifting. TRUE LOVE is worth waiting for, if it is meant to be, it will, no matter what, IT WILL HAPPEN! Nothing is impossible, even when it's the second time around! Thanks!",pos
25,"What more could I say? The Americans totally hated it because the U.S. cut was so bad, although you could detect the underlying goodwill in it.<br /><br />Talking about the U.S. theatrical release(along with the newly released Blu-ray Disc version), it's faster and tighter than HK cut, the background musics were all changed from the dark, grim HK musics to Hip-hop musics; and there were a lot of gruesome scenes cut out. Though, the dubbing was a notable job given that they tried to capture the original actor's voice and tone. But, the problem is Hak Hap(Black Mask) the movie was designed and meant to be dark, grim, super-disturbing and totally gruesome. Very unfortunately the U.S. release just skimmed the cream they wanted, which in return completely changed the movie's undertone(HK release was rated 18+) to be even more comical and amateurish.<br /><br />Now let's talk about the original HK release. This movie is like a hidden gem, a prototype for the whole ""matrix"" tide and era. The fighting scenes are totally awesome even the camera works were a bit ""old-school"" among HK movies. However the style the movie created was a unique blend of Kungfu and pop culture. With all the leather, black costumes and decorations, this movie features a batman-like superhero in a black mask against a run-of-the-mill gang of multinational super-soldiers lead by a punk heavy metal rock star boss. Yes it sounds like imaginations of a retarded child, but it works. It's so impressive that the whole movie's gonna give you nightmares featuring foreigners fighting a bloodbath battle in leather coats. In year 2002 they made a sequel which had a PG-13 rating, but without Jet Li and Liu Qing Yun. And you know how bad that was because Li and Liu were the core characters in the movie and had strong personalities and an interesting friendship. And, did I happen to mention Francois Yip? Her roundhouse kick was totally cool, even cooler than the villain boss because she didn't use a stuntman for all the fighting. Did I mention she was also smoking hot? Anyway, there are a lot of things to like about the movie.<br /><br />However, the movie also suffered from a lot of problems. First off, it's a mediocre script made at its best potential, which means this production team deserved a better screen-writer. There are a lot climaxes in the entire 100 minutes but they often felt like far-fetched and don't totally make senses to the audiences(US version was even worse because all the character developments were cut). Anyway, you can't ask too much out of a comic-inspired action movie. Also, this movie is entirely improper for children. I won't recommend it to you if you are less than 20 years old. It's saturated with disturbing contents including blood, gore, sado-maso costumes, extreme brutal violence and so on. Along with the style of the movie, it can be called a wet dream for heavy-metal rock music fans and action fans. (the U.S. cut was milder, but if you want to see it, see the HK release for what it is.) 7/10. Status: inspiring, hidden, undervalued, adult.",pos
26,"""The Falcon and the Snowman"" is the story of two young men, a CIA employee and a drug dealer, who become disenchanted with United States foreign policy and sell state secrets to the Soviet Union. The events of the film are based on a true story.<br /><br />Timothy Hutton and Sean Penn are convincing in the lead parts and develop interesting characterizations. The supporting cast also performs well, notably with a performance from David Suchet of Hercule Poirot fame as a seasoned Soviet agent.<br /><br />The film is generally effective at setting out its premise and developing it and giving a sense of two boys caught in something they did not properly understand going in. However, it does seem overlong and cumbersome at points in the middle. The ending, however, is tense, stunning and effective. There are some catchy rock songs included in the soundtrack, but also unfortunately a repeated mellow synthesizer track that doesn't fit with a spy story. There are other spy films more worth seeking out than ""The Falcon and the Snowman"", but it is a decent film none the less.",pos
27,"The movie was a pleasure to watch if you are a fan of the Stooges. The story is told from the point of view of Moe Howard and his relationships with his brothers Shemp and Jerome (Curly) Howard, also the life long friendship with Larry Fine. The movie deals mostly with the off camera high points and pit falls of the Stooges multi decade career. The casting director and makeup artist did a fair job of finding actors who resembled the famous ensemble. The actor who plays ""Curly"" Howard did a fine job of portraying the on camera antics of the most beloved Stooge. A must see for any fan of Three Stooges shorts.",neg
28,"I have grown up reading Modesty Blaise, both the comics and the books, and she truly is a heroine to me. Although not being a great fan of Quentin Tarantino I anyway was interested to hear a few years back that he was considering making a film of her: could he finally give Modesty a nice big screen treatment she's worthy of? I heard of 'My Name Is Modesty' a few months ago and checked the stars it had been given here, and wasn't too surprised to find out the score was not too high, since beloved characters often have hard time melting the fans' heart if not done exactly right. So I decided not to read any reviews and see the film instead, and well, I just finished watching it, and I'm stunned, and sad, and yeah, pretty furious, too. Sad and furious of giving over an hour of my time seeing something so fabulous as Modesty Blaise-character being turned into a film that has nothing to give to a viewer or a fan.<br /><br />It seems that almost everything about this film is sub-par and unprofessional, although I must admit seeing some actors in other films earlier where they were fine so I can't blame them. But the screenplay and the directing... my god, why even make this kind of crap with production values slightly bigger than your average TV-film but done much worse? I don't know the background of this film and actually I really don't want to know, but I just can't help wondering that how on earth could Tarantino with a straight face tell that he loves Modesty and then put his name on this? He just lost a huge amount of respect in my eyes. The director was not the right man for this job and I can honestly thank him for ruining my night.<br /><br />I give this film 3 stars and those stars go to the actors and the technical quality which could've been worse. The other seven stars missing are what this film was not good at. Oh well, hopefully at some point there will be a serious production of The Modesty Blaise Movie that has some other goals than to steal money from the Modesty fans. Although if people like Tarantino are the ones making the decisions I'm not holding my breath.",neg
